index,id,sentence,subject_entity,object_entity,label,source
72,72,"냉전 동안 독일 연방군은 NATO의 서유럽 방위 : 의 주력군이 되었으며 전군을 통틀어 ? 49만 5,000명의 병력과 17만명의 군무원을 . 거느리고 있었다.","{'word': '독일 연방군', 'start_idx': 6, 'end_idx': 11, 'type': 'ORG'}","{'word': '49만 5,000명', 'start_idx': 46, 'end_idx': 55, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
954,954,"한편 순천시는 : 아이 . 들 부터 노년까지 세대 . 맞춤 . 형 인구정책 추진으로 인구가 꾸준히 증가해, 10월말 ! 기준 . 으로 지난해 대비 2145 : 명 증가한 281534명으로 . 전남 : 제 ? 1의 도시 달성에 , 한발 더 가까이 다가섰다.","{'word': '순천시', 'start_idx': 3, 'end_idx': 5, 'type': 'ORG'}","{'word': '281534명', 'start_idx': 77, 'end_idx': 83, 'type': 'NOH'}",org:number_of_employees/members,wikitree
1026,1026,"2010년에 전 소녀시대 멤버였던 제시카가 : 당시 멤버 9명 : 중 미니홈피나 블로그 등 ; 을 하는 : 사람이 , 한 명도 없던 ! 중에 10월 13일, ; 제시카가 ? 처음 ! 으로 ; 자신의 , 트위터 계정을 개설하였다.","{'word': '소녀시대', 'start_idx': 9, 'end_idx': 12, 'type': 'ORG'}","{'word': '9명', 'start_idx': 30, 'end_idx': 31, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
1044,1044,"2010년 ; 3월 29일 , , ? 최진영은 서울특별시 강남구 ! 논현동의 자택에서 , 스스로 세상을 떠났다.","{'word': '최진영', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': '서울특별시 강남구', 'start_idx': 19, 'end_idx': 27, 'type': 'LOC'}",per:place_of_death,wikipedia
1420,1420,"한편, 광주 서구는 ‘주민 . 주 ? 도의 좋은 마을만들기’사업을 통해 18개동에서 100여개의 마을공동체가 왕성한 활동을 펼치고 있다.","{'word': '광주 서구', 'start_idx': 4, 'end_idx': 8, 'type': 'ORG'}","{'word': '18개', 'start_idx': 34, 'end_idx': 36, 'type': 'NOH'}",org:number_of_employees/members,wikitree
1547,1547,2011년 . 러시아 의회 선거(Парламентские выборы в России 2011)는 2011년 450석의 국가두마 의회 의원들을 뽑기 위한 총선거이다.,"{'word': '국가두마', 'start_idx': 65, 'end_idx': 68, 'type': 'ORG'}","{'word': '450석', 'start_idx': 59, 'end_idx': 62, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
2552,2552,"키몬다 ! 는 ? 3개의 ! 대륙에 ; 5개 : 의 ? 300mm 제조 시설을 두었고, 연구개발 인력 1,800명 ? 을 포함 : 하여 세계에 : 약 12,000명의 ? 직원이 있었다.","{'word': '키몬다', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '12,000명', 'start_idx': 62, 'end_idx': 68, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
2802,2802,마리 드 메디시스 왕비는 1630년 그녀의 . 아들이었던 ; 루이 13세에 의해 추방당하게 되며 1642년 루벤스가 유년시절을 보냈던 ? 쾰른의 바로 그 집 ; 에서 죽었다.,"{'word': '마리 드 메디시스', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '쾰른', 'start_idx': 71, 'end_idx': 72, 'type': 'LOC'}",per:place_of_death,wikipedia
3509,3510,"1921년 6월 자유시참변 : (自由市慘變) 발생 후 상해파 고려공산당의 간부들이 거의 러시아로 이동하여 이르쿠츠크집단과의 군권투쟁 ? 을 벌이고 있을 때, 운송책의 한 사람이었던 김립은 혼자서 상해본부를 지키고 있었으며, 1921년 말 임시정부에서 보낸 김구의 부하인 오면직, 노종균 등 청년들이 김립을 찾아 1922년 2월 11일 상하이 불조계의 자베이(閘北) 거리에서 암살당했다.","{'word': '김립', 'start_idx': 161, 'end_idx': 162, 'type': 'PER'}","{'word': '상하이', 'start_idx': 181, 'end_idx': 183, 'type': 'LOC'}",per:place_of_death,wikipedia
3750,3752,"전세계적 ; 인 경제위기 속에서도 한국 경제는 올해 ? OECD 37개국 가운데 성장률 1위 ! 를 . 기록 ! 하고 ; , GDP 규모에서도 . 세계 ; 10위권 ? 안으로 진입할 . 것으로 전망되고 있습니다.","{'word': 'OECD', 'start_idx': 26, 'end_idx': 29, 'type': 'ORG'}","{'word': '37개국', 'start_idx': 31, 'end_idx': 34, 'type': 'NOH'}",org:number_of_employees/members,policy_briefing
